buildingID,buildingName,country,locationID,locationName,postalCode,street,longitude,latitude,geoLink,portalLink
QGL02,Dworcowa 27,POLAND,QGL,Gliwice,44-100,Dworcowa 27,18.6696663,50.2939448,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=50.2939448 18.669666300&z=16&iwloc=A,
QGL03,Wybrzeże Armii Krajowej,POLAND,QGL,Gliwice,44-100,Wybrzeże Armii Krajowej,18.6645383,50.3007938,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=50.3007938 18.6645383000&z=16&iwloc=A,
QGL75,ul. Zwyciestwa 23 (Hybris),POLAND,QGL,Gliwice,44-100,ul. Zwyciestwa 23,18.670341,50.296605,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=50.296605 18.670341&z=16&iwloc=A,https://go.sap.corp/nxf
WAW01,Taurus building,POLAND,WAW,Warsaw,02-675,ul. Woloska 5,20.999893,52.180916,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=52.180916 20.999893&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://f974e5889fbc81f744b99a597b7736e6
WAW02,CEZA,POLAND,WAW,Warsaw,02-676,Postepu 19,20.9967294,52.1820413,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=52.1820412999 20.996729400&z=16&iwloc=A,
LIS02,Edificio 14,PORTUGAL,LIS,Lisbon,2740-267,"Edificio 14, Piso 3",-9.311512,38.711984,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=38.711984 -9.311512&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://ef62b90e7e65847fc48763715c5a87a5
DOH02,Quatar Science & Technologie Park,QATAR,DOH,Doha,210000,Al Gjarrafa Street,51.528947,25.320481,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=25.320481 51.528947&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://4a31291242179bd1a9a585cfc876b87e
DOH03,Al Fardan Tower,QATAR,DOH,Doha,26660,61 Al Funduq Street,51.529105,25.320513,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=25.320513 51.529105&z=16&iwloc=A,https://go.sap.corp/r60
BEG01,Airport City Belgrade,REPUBLIC SERBIA,BEG,Belgrade,11000,Omladinskih Brigada Street 88b,20.39691,44.812716,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=44.812716 20.396910&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://ae1bb7b468068ad9d2d2ba130d918ec0
BEG02,Airport City Belgrade,REPUBLIC SERBIA,BEG,Belgrade,11070,Omladinskih Brigada / 88-90,20.399747,44.81161,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=44.811610 20.399747&z=16&iwloc=A,
BEG80,Building ​​Dahlia (CallidusCloud),REPUBLIC SERBIA,BEG,Belgrade,11070,"90G, Omladinskih Brigada St.",20.399019,44.811281,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=44.811281 20.399019&z=16&iwloc=A,
BUH01,LA Building,ROMANIA,BUH,Bucharest,13714,"Calea Tipografilor 11-15, A1",26.072635,44.483656,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=44.483656 26.072635&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://ff4e4dd5a44866853f88ee18b9adc70a
CLJ02,CLUJ Business Center,ROMANIA,CLJ,Cluj-Napoca,400616,Henri Barbusse No. 44-66,23.60793,46.782715,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=46.782715 23.607930&z=16&iwloc=A,https://go.sap.corp/nxg
TSR01,City Business Development Centre,ROMANIA,TSR,Timisoara,300011,Brediceanu 10,21.2211,45.757143,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=45.757143 21.221100&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://a558859eac31cf1fd329a9e6336143e3
TSR02,Str Coriolan Brediceanu no 10,ROMANIA,TSR,Timisoara,300011,Str Coriolan Brediceanu no 10,21.22127,45.75756,,https://go.sap.corp/TSR02
LED01,23 Malaja Morskaja ul.,RUSSIA,LED,St. Petersburg,190000,23 Malaja Morskaja ul.,30.308976,59.934463,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=59.934463 30.308976&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://8e5d5a3f06d66ec2dd0cad3cb3e8572a
MOW01,Kosmodamianskaja nab.  52/2,RUSSIA,MOW,Moscow,115054,Kosmodamianskaja nab.  52/2,37.646237,55.73228,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=55.732280 37.646237&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://d4fef13c352cc6a921c248dbf7541811
MOW04,Kosmodamianskaja nab. 52/7,RUSSIA,MOW,Moscow,115054,Kosmodamianskaya nab. 52/7,37.645857,55.734674,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=55.734674 37.645857&z=16&iwloc=A,https://portal.wdf.sap.corp/irj/portal?NavigationTarget=navurl://a9ddbd708c5510b243c142faac195c77
MOW05,OAO Moskva Krasnye Holmy,RUSSIA,MOW,Moscow,115054,"Kosmodamianskaya nab., 52",37.643887,55.733017,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=55.733017 37.643887&z=16&iwloc=A,https://go.sap.corp/pi6
SVX02,Business Center PALLADIUM,RUSSIA,SVX,Ekaterinburg,620014,Hohryakova str.10,60.590831,56.835613,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=56.835613 60.590831&z=16&iwloc=A,https://go.sap.corp/SVX
ALK02,Khobar Gate,SAUDI ARABIA,ALK,Al Khobar,,King Fahad Road,50.211511,26.308458,http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=26.308458 50.211511&z=16&iwloc=A,https://go.sap.corp/r63
